3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
0.513263,20210530-061938,20210530,061938,5.145997,0.0,3.0,0.0,1.0,22.0,5.695849,0.206064,49.0,13.596514,1.899238,-1.899238,37.04702,-1.0,0.0,0.44985,0.0,-99900.0,0.0,0.0,-0.0,1.899238,0.951236,1.899238,25.11928,121.7771,-1.643213,4.599153,43.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,5.17153,1.046512,49.0,0.0,0.0,263.092773,-99900.0,0.0,-99900.0,1.861697,-1.861697,-99900.0
6.322365,20210530-062539,20210530,062539,6.330848,0.0,9.0,0.0,2.0,16.0,44.961487,0.049037,49.0,31.719362,3.422635,3.422635,80.093285,1.0,0.0,1.563535,0.0,-99900.0,1.195877,0.254,0.254,3.422635,1.825757,1.653532,25.129934,121.834793,-0.064456,5.402028,45.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,8.947175,1.0,49.0,1.0,0.070305,258.471802,16.423061,0.0,0.016092,2.988883,2.988883,0.003282
11.00804,20210530-063140,20210530,063140,7.170805,0.0,15.0,0.0,3.0,20.0,56.919033,0.074851,49.0,34.387856,3.641145,3.641145,70.555695,1.0,0.0,1.529974,0.0,-99900.0,1.175196,0.254,0.254,3.641145,1.791141,0.458885,25.137489,121.881332,5.065969,6.308524,44.0,0.0,46.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,13.137633,1.045455,49.0,2.0,0.078884,259.079834,14.803783,0.0,0.014536,3.644397,3.644397,0.002804
17.17835,20210530-063741,20210530,063741,8.298667,0.0,21.0,0.0,4.0,15.0,64.215187,1.278935,49.0,40.037678,4.270905,4.270905,80.728462,1.0,0.0,1.228885,0.0,-99900.0,0.93011,0.254,0.254,4.270905,2.138155,1.278935,25.147633,121.942619,16.115578,8.089389,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,19.077831,1.0,49.0,3.0,0.10442,259.334503,15.413352,0.0,0.015147,3.257121,3.257121,0.002853
22.251518,20210530-064343,20210530,064343,6.717878,0.0,27.0,0.0,5.0,20.0,73.200424,0.187822,49.0,47.63377,3.695644,3.695644,118.263397,1.0,0.0,1.012856,0.0,-99900.0,2.645415,0.0,0.0,3.695644,1.725343,1.249218,25.133415,121.992989,17.289938,7.571486,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.243492,1.0,49.0,4.0,0.021865,264.628448,15.108514,0.0,0.015042,2.885732,2.885732,0.001414
27.429054,20210530-064944,20210530,064944,5.848417,0.0,33.0,1.0,6.0,35.0,77.963463,0.898213,49.0,26.794308,3.890247,3.890247,86.446243,1.0,0.0,1.049495,0.0,-99900.0,1.402992,0.0,0.0,3.890247,1.782691,1.209549,25.125597,122.044403,26.464924,5.745509,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.045624,1.0,49.0,5.0,0.0,268.239746,14.919335,0.0,0.014912,2.27174,2.27174,0.000458
31.199907,20210530-065544,20210530,065544,5.360436,0.0,39.0,0.0,7.0,40.0,80.251038,0.534688,49.0,27.534117,3.776387,3.776387,92.644249,1.0,0.0,1.036405,0.0,-99900.0,1.725863,0.0,0.0,3.776387,1.480061,1.065314,25.121208,122.081841,29.704792,5.768869,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.657043,1.0,49.0,6.0,0.0,273.330353,14.165025,0.0,0.014141,2.166296,2.166296,-0.000823
36.139782,20210530-070145,20210530,070145,4.910963,0.0,45.0,0.0,8.0,43.0,82.261398,0.363243,49.0,22.112663,3.535239,3.535239,95.499062,1.0,0.0,1.17805,0.0,-99900.0,0.224666,0.0,0.0,3.535239,1.748277,0.86106,25.117167,122.13089,33.019848,4.721198,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.471928,1.0,49.0,7.0,0.0,276.919708,13.785248,0.0,0.013685,1.508657,1.508657,-0.001661
40.670124,20210530-070746,20210530,070746,4.983609,0.0,51.0,0.0,9.0,42.0,83.013763,0.416719,49.0,12.06226,3.201435,3.201435,61.264153,1.0,0.0,1.227093,0.0,-99900.0,0.787314,0.0,0.0,3.201435,1.449978,0.416719,25.117821,122.17588,37.030956,5.038456,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.974323,1.0,49.0,8.0,0.0,277.860046,13.019016,0.0,0.012897,1.3125,1.3125,-0.00178
50.367599,20210530-071347,20210530,071347,4.90518,0.0,54.0,0.0,10.0,56.0,84.437439,2.897337,49.0,8.223383,3.739359,3.739359,59.219543,1.0,0.0,0.386799,0.0,-99900.0,5.073244,0.0,0.0,3.739359,3.013078,2.897337,25.117115,122.272186,50.279335,4.882337,35.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.605888,1.0,49.0,9.0,0.0,273.738861,14.702374,0.0,0.014671,0.451523,0.451523,-0.000959
56.465263,20210530-071948,20210530,071948,3.832281,0.0,0.0,0.0,1.0,67.0,86.117104,2.569824,49.0,4.77481,3.313389,3.313389,42.271255,1.0,0.0,0.416027,0.0,-99900.0,1.081887,0.0,0.0,3.313389,2.703586,3.313389,25.107466,122.332718,56.309978,3.748937,33.0,0.0,33.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.595161,1.0,49.0,0.0,0.0,273.14151,16.432034,0.0,0.016407,0.381917,0.381917,-0.000901
